prompt,completion
What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,0
How long does a wrestler have to get themselves free of the hold?,0
"What creates segments called a ""frame""?",0
When should I see a doctor about painful or swollen testicles?,1
What causes vitamin-deficiency anemia?,1
"Yale claim to have the oldest college art museum in the United States, what is the name of the place?",0
when i laugh the chest pain gets worse. but otherwise its a constant pain. does this mean i am on my way to having a heart attack?,1
How can rheumatoid arthritis  affect your heart?,1
What are some tips to avoid strain on smaller joints?,1
Why are glacial crevices formed?,0
my mom-in-law had breast cancer 5 years ago. she got breast implants done. she has recently gone throughradiation to cure cancer again. now a bump has appeared. what should i do?,1
What organization is trying to revive Sanskrit?,0
Broadcast in Hong Kong used which standard formatting?,0
Is there a single test to diagnose rheumatoid arthritis?,1
What are the symptoms of diabetic nephropathy?,1
How did the British production fare as a result of all the bombing?,0
Do bantams lay regular sized eggs ?,0
What does a “healthy” diet include?,1
if there is finding of trace mr i have to repeat echo cardiogram time to time to rule out whether if it is increasing?,1
How is the walk?,0
What does the trigeminal nerve do?,1
How common are learning disabilities?,1
What about the front desk?,0
What is a quick and accurate review?,0
At what temperature will grains of uranium metal spontaneously ignite in air?,0
What are often called psychoacoustic models?,0
Why was green facial makeup worn by ancient Egyptians?,0
help please. could breast cancer show up on a cat scan of the heart or lungs?,1
What method is used to cause a system to fail?,0
my heart beat pounds upon standing shoots up real fast too 110bpm or more. why does it do this? typical resting rate is 56-70 for me. v-tach? a-fib?,1
How many copies of the Encyclopedie were estimated to be in circulation throughout France and Europe before the French Revolution?,0
In what borough is One World Trade Center located?,0
What might my doctor suggest I do to manage my drug allergy?,1
is obesity inherited?,1
How is the food?,0
can you take adipex and norethindrone together or do they cancel each other out? can i take a norethindrone and plan b in the same day?,1
why is it that there are no marks left after breast augmentation surgery done?,1
How can singing help me boost my energy?,1
can a woman get breast cancer if you squeeze her breasts really hard?,1
How nice is the view?,0
what do you suggest if i have cough with phlegm mild chest pain but no fever what do i have?,1
When is low blood pressure dangerous?,1
Do listing notices cross international soil?,0
What do you think about imagery?,0
Can candidal (yeast) infections be treated at home?,1
What can I do if I have too little saliva?,1
In what competition did the Samoan rugby team reach the quarter finals in 2013?,0
How big is a serving of chicken or meat?,1
Edward Burne-Jones is noted for creating mosaics in what century?,0
What is the quality of the movie?,0
How is the view from this hotel?,0
How is story?,0
Can Tai Chi help my osteoporosis?,1
i was diagnosed with a gastrointestinal hemmorhage hypokalemia intractable abd pain and an r/o gi bleed i have three ulcers that i've had for over a?,1
"As of 2004, what do all Anglican Communion Churches share?",0
who is the most common sufferers of bradycardia?,1
Where is the bus stop?,0
Why does dental pulp need to be removed?,1
i have just switched birth control pills (from azurette to nordette). will i notice any differences (namely weight gain)?,1
Why are different materials used in a lab than are used in factory production?,0
What kinds of food should I eat for a low-fat diet?,1
How do you dream?,0
How is the taste?,0
Why was the Somerset county Canal built ,0
What must an infectious agent do to cause disease?,1
How can watchful waiting help treat gallstones?,1
i am having fibroadenoma 2 of them in either breast. am taking medication of primrose n long tablets for 3 months. will it help?,1
How much street noise is there?,0
What about the taste of the sauce?,0
What makes a successful data model?,0
How is service?,0
How to identify sex?,0
Where can I find book with excellent review?,0
What drugs can lower triglycerides?,1
is it safe to eat a vegetarian diet during pregnancy?,1
How do you like the hotel?,0
might it be that a a breast cyst be caused by a hormonal imbalance?,1
What physical factor must be continuously monitored during temperature studies> ,0
Is it a good ingredient?,0
is having weight loss surgery giving up?,1
At which college did Feyman turn down a job?,0
Where can I locate the hotel staff?,0
 In what year did the Russian campaign take place?,0
What did earnings from Greece's shipping amount to in 2011?,0
what is the reason for bulging veins in the booty?,1
What is the quality of the movie?,0
i have tinnitus and dizziness. positive hutt blood pressure at position 144/130 immediately 57/60 and heart rate up 190/min. i don't have a balance?,1
"During 2007, what was the percent of defective mortgages not underwritten to Citi's standards?",0
How is taste?,0
what are some of the reasons for sharp breast pain in women?,1
how can i get more calcium without drinking/eating too much diary products?,1
What could the mythological association of prey species with divinity be a form of?,0
What could the king do to nobles injured or taken during war?,0
Do they have a variety of salad?,0
how long can u eat after taking propranolol?,1
Under whose reign were young debutantes presented to society at Court?,0
What could epinephrine treat?,1
How is the table?,0
When should I call a doctor for a heat burn to my eye?,1
"What could wifi, bluetooth, and cellphone network on devices be used as?",0
What trend led to parts of the world developing their own local Neolithic cultures?,0
What types of conservative beliefs slowed the expansion of the empire?,0
At what three levels does the Portugal government operate?,0
Why are roofs a good place for solar panels?,0
Common energy forms include what?,0
i had fat transfer done in my lips but one side is more swollen then other by a lot! is this normal and does it mean that side will heal bigger?,1
How does an ICD help treat abnormal heart rhythms?,1
Colors are typically broadcast using YUV and then converted to what?,0
What number doubled during Paul Vi's papacy?,0
What triggers a heart beat?,1
What number did Queen's Jazz reach on the Billboard 200?,0
What are the next steps for the treatment of age-related macular degeneration?,1
Are the symptoms of multiple sclerosis uniform?,1
How do children tend to define themselves?,0
What concept is associated with the solvability of polynomials?,0
How can the doctor accurately diagnose prostate cancer?,1
What are the different kinds of fractures?,1
How long does it take to recover from an abdominal hysterectomy?,1
Can invertebrate species of animals like insects feel pain and suffering?,0
Electricity production is expected to increase by what percentage each year for the next 25 years?,0
wife is ra patient since 11y aged 35y is experincng palpitation like feeling head circling & general tiredness since 3 days. bp is 114/75. what is it?,1
How can reducing the use of makeup help prevent acne?,1
What creative union aired grievances against Comcast in 2011?,0
From whom did Seleucus receive war elephants?,0
How are the agreements in a treaty expressed?,0
Can cause for most pathogenic diseases be found soon?,1
How did you like the camera?,0
How is story?,0
was given lorazapam by mistake 2 mgs wrong medication for migrain passed out and may have hullucinated should i be concerned memory seems off.,1
How can I stop smoking?,1
How is the quality of the collection?,0
How would you describe the atmosphere of the dinner?,0
when doing my profile your website said i was severely obese. i''ve been trying to lose weight but keep gaining (30 lbs this year). desperate to stop?,1
What are common symptoms of psoriatic arthritis?,1
What are the symptoms of congenital generalized lipodystrophy (CGL) in babies?,1
Fossils found in the Tonian period indicate the presence of what creatures?,0
Could weight loss be a sign of cancer?,1
How was this one film?,0
What is considered to be central to the teachings of Buddhism?,0
What are symptoms of vision problems in children?,1
i've been dieting and now find i don't have the energy for my usual exercise program. what should i do?,1
What are signs of social or emotional developmental delays in children?,1
How far was the Conservative party in debt?,0
How is vibe?,0
What non-stimulant medications are used to treat ADHD?,1
How is Inflectra used to treat rheumatoid arthritis (RA)?,1
What often specify a minimum caliber or muzzle energy for firearms?,0
Is the set complete orwe have to buy the parts?,0
What makes a plant non-vascular?,0
What phrases were used to describe Mary ?,0
Does this taste funny at all?,0
How about view?,0
why would a pericardium be swollen?,1
what's the best proactive preventive treatments aside from exercise & diet for coronary heart disease. i'm 38 with a family history of heart disease.?,1
How is the story?,0
What types of deer does Oklahoma have a lot of?,0
Eudicots or tricolpates are part of a monophyletic group formed by what species?,0
"Four areas of the body are usually safe from TB infection, including skeletal muscles, heart, and thyroid; what's the fourth?",1
Firefox does web feeds as what?,0
"why do i always have nose bleeds? i am a 45 year old non smoking non drinking woman of normal weight. 5'4"" 129lbs size 6. i am not taking any medications or supplements of any kind. i have had no recent surgeries. i do not have high blood pressure ye",1
During a parasitoid-host interaction what will happen to the host?,0
What are the signs of ADHD in adults?,1
What should I do if psoriasis causes pus-filled blisters or red and scaly skin?,1
What are injection sites?,1
Avoiding drugs and using condoms are other forms of what?,1
How is that texture?,0
What do you think about the story?,0
What did Egyptian state media claim was the reason for Nasser's absence after his second heart attack?,0
what kind of pills should i be taking for high cholesterol?,1
For what crime was he arrested?,0
Where did Shuhda attend school?,0
i have low potassium could that make me have panic attacks or anxiety problems. my doctor did a ekg and chest xray and my heart is good?,1
Is it bad to cancel doctor appointments if I have rheumatoid arthritis?,1
How is the carpet?,0
Can hearing aids help tinnitus?,1
What is physical therapy?,1
Why was the Unicode 2.0 codespace increased?,0
What description did Peter Lax use for von Neumann?,0
blood sugar 0' 60' 120' - 82mg 83mg 65mg insulin 0' 60' 120' - 4 2mui/l 43 6mui/l 2 6mui/l glucagon - 25pg/ml is this insulin resistance?,1
How effective is Plan B One-Step as an emergency contraception?,1
i have had no period for two months constant breast pain negative pregnancy test and spotting what could be wrong. with me?,1
what are reliable doctor-recommended heart problems that people can get?,1
Under whose reign did the Church of England part from Rome?,0
How big are the hamburgers?,0
anyone know what is a really good weight loss diet program?,1
How good is the finish?,0
How did you like the waiter?,0
What are some self-care tips for a broken toe?,1
How do differences in works arise when using a printing press?,0
Who did the official from Myanmar meet with ?,0
Edmund Dixon is most famous for what inclusions in his 1854 book on poultry ?,0
i got my period a week early and have been binging like crazy. should i be concerned?,1
What are side effects of beta-blockers when treating atrial fibrillation (AFib)?,1
What could the displacement of ice cause?,0
you have high appetite for food in winters than summers is that correct?,1
During the 1500 who was a valued part of the Ottoman   Empire?,0
How was the popcorn?,0
Zeus was married to which goddess?,0
Which dairy products have healthy fat?,1
need help with my slightly overweight child focus on diet or exercise first?,1
would it b ok if i just drink protein shakes that body builders drink. my teeth r bad and its hard for me to eat. im losing weight. i weigh maybe 100?,1
What is “normal” sleep?,1
How can you get rheumatoid nodules?,1
Boston is the only state capital in the contiguous US to have what type of coastline?,0
From whom was Marwan descended?,0
What is the shipping speed?,0
i have heard that drinking apple cider vineger (with water)for long time would cause liver damage and low potassium levels is that true?,1
How does someone with rheumatoid arthritis (RA) get folic acid?,1
"As of 2005, what country was the largest producer of uranium oxides?",0
What did you think of this movie?,0
Do you recommend watching this movie to hang out?,0
What competition is the predecessor to the UEFA Cup-Europa League?,0
"Due to the numbers of expatriates of Poland after the uprising, what did it become to be known as?",0
 What do residents of Seattle believe in matters of religion?,0
Explorers in the employ of what nation discovered the Azores?,0
What are the symptoms of Streptococcal toxic shock syndrome?,1
Can glucosamine help treat osteoarthritis symptoms?,1
what diseases become out of natural disasters?,1
Do you have any positive views about the movie?,0
"During hockey season, when does the late night news update occur?",0
my hemoglobin came back elevated again (17. 5) im feeling extremely tired short of breath rapid heart beat and abdominal fullness. why?,1
What concept did Tarski introduce to discuss the conditions for the truth of statements?,0
Is a good parking service?,0
What can palliative medicines help with?,1
"Compared to other religions, Jehovah's Witnesses have the highest frequency of doing what with the Bible outside of religious services?",0
Why are the Non-OTG compliant devices not allowed to use the micro-AB receptacle?,0
What alternative therapies are available for IBS with diarrhea (IBS-D)?,1
What could you say is the average start for a monsoon?,0
What computer model did Dell ask Officeworks to carry?,0
For what competition did Arsenal use the yellow and blue away kit?,0
what are the presenting symptoms of an infection of heart valves?,1
How is texture?,0
What must be decompressed? ,0
What racial group was primarily involved in babershop a cappella in its earliest days?,0
How do you like the tooth?,0
What are the pros to using estrogen replacement therapy patches?,1
Why couldn't the French and English take control of the field?,0
Why are newborns described as being physiologically immunodeficient?,1
does emergency contraception cause weight gain?,1
What describes meditative states exising before the Buddha?,0
False charges can be brought against a journalist who writes about what?,0
What is the best diet for women aged 50?,1
How is an inferior vena cava (IVC) filter used to treat deep vein thrombosis (DVT)?,1
What could the sun's energy do to help limit climate change?,0
Why couldn't Shawn Michaels defend himself? ,0
 When did Marie Louise give birth?,0
FST is used to measure the degree of differentiation between what?,0
Where are your sinus cavities located?,1
How did the British army escape,0
How is hotel?,0
Does the video and pictures extremely sharp?,0
How is a genetic test for cystic fibrosis (CF) done?,1
How was the attention of the staff?,0
is taking a low dose of propranolol suitable for panic attacks and heart racing?,1
what is a too low blood pressure?,1
What component of the 360 S prevents overheating issues prevalent in prior versions?,0
is oil of oregano safe to take with my other meds? zoloft (sertraline) avapro phentermine phenergen paracetamol and ibuprofen?,1
How will your doctor find out if you have heart failure?,1
what kinds of treatment options are there if you have high cholesterol?,1
"Companies such as Huawei, ZTE and Lenovo have built what in Nanjing?",0
How are the prices of the place?,0
Can depression play a role in fatigue from hepatitis C?,1
Drug-resistant TB is one of the barriers to success of the Stop TB Partnership's initiative; what's the other other?,1
How can the temporomandibular joint (TMJ) cause ear pain?,1
zoloft (sertraline) dose up to 100mg and takin klonopin 1mg twice a day. will this balance my anxiety feel like my doc is focused on depression not anxiety?,1
Why was the term transistor used?,0
dangers of untreated laceration and infection?,1
how does type 1 diabetes affect pro-insulin level?,1
How is the write?,0
With whom was LaserDisk a popular choice for it's picture and sound quality?,0
"is this true? i keep coming across this ""100 steps backward walking is equivalent to 1 000 steps forward walking. "" but it sounds to good to be true.",1
How did the capacitor traditionally used in radio tuning circuits change over time? ,0
i've been feeling anxious and nervous at the office these days. i don't feel anything during the day but feel heart palpitations at bed. need to worry?,1
What race was the majority in Palestine in the 1940s?,0
what could cause chest pain under my right pec after eating(feels like an elephant sitting on me)?,1
How is the image quality like?,0
What could have affected Medieval Europe's embracing of the pointed arch?,0
Do I need to do anything to prepare for a pelvic exam?,1
Does it really matter what time of day you take medications? ,1
How many copies of On the Origin of Species were created in the first printing?,0
is sauna safe after breast augmentation?,1
What are antibiotics used for?,1
Existing between what two countries contributed to Kathmandu becoming a center of trade?,0
How is the base?,0
Do apex predators generally have a large or small population?,0
What is the image quality?,0
Do teens smoke marijuana or cigarettes more commonly?,1
Was the scenes good?,0
Will diet affect radiation therapy for skin cancer?,1
would it be healthy to be addicted to chewing mint gum?,1
What  domain were the Eritrean highlands under after the decline of Aksum?,0
What are the main things that lead to type 1 diabetes?,1
"If I feel dizzy, when should I call my doctor?",1
How can sleeping well help ease osteoarthritis symptoms?,1
What viewpoint did the book Socialism shift Hayek toward?,0
Is there a major problem?,0
what would u say to obese patient who wants 2 exercise 2 improve heart health/lose weight but doesn't due to a phobia about having heart attack? <negative_smiley>,1
How far will Puffinus griseus migrate each year?,0
What is the definition of retinal migraine?,1
"Despite FDA approval, how much more likely to die are patients who take bedaquiline in addition to the standard TB regimen?",1
Does osteoarthritis cause stiff joints?,1
What did Ebert think of 'The Color Purple'?,0
What types of decisions would great powers reach?,0
Does the video gives entertainment?,0
How would you describe the picture quality of the film?,0
What was the first treatment for tuberculosis?,1
During 6000 BC what area was occupied by a Neolithic culture?,0
At what age did Gautama venture out from the palace area?,0
Hans Denck was considered what type of reformer?,0
What  family was supposed to have supported the January 1804 assassination plot targeting Napoleon?,0
What is the quality of the pair?,0
What happens during a psychotic episode for people with schizophrenia?,1
no matter what i eat or how much i eat i get nauseated. i had gastric bypass surgery 18 months ago. what could be causing my nausea?,1
How is the meal?,0
is it possible to get a heart attack at twenty without a heart condition?,1
Will I need surgery for heartburn?,1
In what competition was Arsenal the first to enter the finals?,0
What order of magnitude of capacitance is suitable for capacitors comprised of ceramic disks with metallic coatings?,0
How do set the device to the most advanced level?,0
What causes atypical depression?,1
How often should inhaled steroids be taken?,1
my dad's mom had breast cancer and now my mom had breast cancer. even though i am not yet 40 should i have a mammogram?,1
How is the guy?,0
"Compared to the Ordovician glaciation, how big were the ice caps on Gondwana during the Silurian?",0
"Generally, up-peak mode takes place during what times of the day?",0
i am 47yrs good health. i never get spots but 2/3 weeks ago ulcer appeared under left breast is it almost certainly breast cancer? straight answer pse,1
How can you prevent further damage if you have heart failure?,1
How can simple cysts cause benign breast lumps?,1
How do I do a breast self-exam in the mirror?,1
Why have ideographs been unable to be simplified like Hangul?,0
At what time on Earth did Armstrong first step onto the Moon?,0
What other US group was interested in the Bofors?,0
What other Unique Architecture started in Miami after world war 2,0
Treatment options for chronic tinnitus?,1
What is degenerative disk disease?,1
i have to make a decision on whether to have my ovaries removed during a hysterectomy and do not know what to do. my mom died of breast cancer.,1
how often are you suppose to get a mammogram thanks?,1
does fiber help to lose weight?,1
what distinguishes an esophagus spasm from a heart palpitation?,1
What number describes the percentage of Russian Estonians?,0
How would you describe the set of the hotpots?,0
Does everyone get eye problems?,1
When are you more likely to get leg cramps?,1
How did the receptionist treat it?,0
with genetic risk for aneurysms. should i do the stress test?,1
my mother has fdiffuse cerebral edema because of cardiac arrest. she is having little body movements little eye opening but no concious yet.,1
Which medicines can cause headaches?,1
How is people?,0
Half of the top earners were mostly in what field?,0
How are dogs viewed in Islam?,0
Can IRENE read vertically modulated information?,0
What could we call some specimens with a high proportion of latewood that explains why they weigh less than specimens with much less latewood?,0
What must be purchased with hunting license is comes in a limited number?,0
How was animation quality on this film?,0
What are the symptoms of an abscessed tooth?,1
How is the series?,0
how come i have a buzzing noise in my ear?,1
Why was Iran included in the collection of regions? ,0
"Aside from Plymouth High School for Girls and Devonport High School for Boys, what state grammar school is present in Plymouth?",0
How are some people?,0
How serious is diabetes insipidus?,1
How about the quality?,0
What other types of petrels breed on Phillip Island?,0
Where is the concierge office?,0
Buddhists call anapanasati what?,0
At what time are drivers in New York most likely to experience traffic jams?,0
With whom is it believed that Mary lived with in Ephesus?,0
What could prevent asthma?,1
"AT&T, Philips, Zenith, and MIT, among others, made up what group in the 90's?",0
had breast implants feb 2013. am a cardio tech student will be taking ekgs of each other. can u see that i have implants on ekg? should i tell them?,1
what happens if you powerlift and you have a 30-40 bmi is that bad?,1
What complication does the use of combinations of antibiotics for active TB prevent?,1
What are the precautions before taking Cymbalta for the treatment of fibromyalgia?,1
France has become a more ethnically diverse country since the end of which war?,0
Can new methods determine a total number of bacteria species?,0
What is your favorite book?,0
What adjective did CNET use to describe the PS3 Super Slim's design?,0
How are the rooms in the Belgian Suite connected?,0
What is mitral stenosis?,1
Hormones secreted are driven by what organ in the body?,1
How did you like dinner?,0
Does the minority or majority party have more leadership positions in House?,0
How far was the party in debt for the same time period?,0
What is the formal operational stage in Piaget's stages of development?,1
What organ did Wolfgang Amadeus Mozart play on?,0
What are the symptoms of myositis caused by a virus?,1
"During the breakup of Pangaea, what sea was created?",0
What does recurrent prostate cancer mean?,1
How is the world?,0
Why might ongoing stress be unhealthier than usual if you have heart failure?,1
