,prompt,completion
11348,How can I avoid spreading my cold to others?,1
12724,How can you wear compression stockings?,1
379,What is the plot of the scene?,0
1289,Why are seabirds from the southern hemisphere more likely to migrate?,0
389,During independant service mode how is a single cab in a hall kept from being used?,0
231,"Besides a blotter sheet, what can be used to collect water?",0
109,Does the video and pictures extremely sharp?,0
406,"During the bronze age, which metal was valued higher than gold in Europe and the Mediterranean?",0
27835,How will I feel when I quit smoking?,1
373,"During ancient Greece, at what age were boys taught music?",0
154,Aspiration alters with what?,0
117796,where are the heart valves?,1
1232,What  does the immediate return system mean?,0
18404,what kind of doctor specializes in sleep apnea if you are in a small town far from specialists?,1
1431,What no wave-affiliated label was founded in 1978?,0
629,Of what nationality was Perrin?,0
4751,What are hypomanic episodes like for people with bipolar II disorder?,1
82619,is it better to have a higher heart rate working out or just go with what is comfortable?,1
172,How can I get some good potatoes in this hotel that bite you Get a crispy sound?,0
897,With what British band did Beyonce perform on their album?,0
242,Do you like it to taste good?,0
1400,What often topped pilasters of columns?,0
128396,why does atherosclerosis run in families? is it just a gene that runs through and you just naturally develop cardiovascular disease or is it because of the risk factors that run in families?,1
39977,How can being overweight with rheumatoid arthritis (RA) affect your joints?,1
33,Why should you do something against high blood pressure?,1
1241,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,0
596,How long does a wrestler have to get themselves free of the hold?,0
1053,"What creates segments called a ""frame""?",0
44131,When should I see a doctor about painful or swollen testicles?,1
24116,What causes vitamin-deficiency anemia?,1
843,"Yale claim to have the oldest college art museum in the United States, what is the name of the place?",0
129986,when i laugh the chest pain gets worse. but otherwise its a constant pain. does this mean i am on my way to having a heart attack?,1
40771,How can rheumatoid arthritis  affect your heart?,1
40388,What are some tips to avoid strain on smaller joints?,1
968,Why are glacial crevices formed?,0
75713,my mom-in-law had breast cancer 5 years ago. she got breast implants done. she has recently gone throughradiation to cure cancer again. now a bump has appeared. what should i do?,1
1379,What organization is trying to revive Sanskrit?,0
246,Broadcast in Hong Kong used which standard formatting?,0
45457,Is there a single test to diagnose rheumatoid arthritis?,1
14031,What are the symptoms of diabetic nephropathy?,1
777,How did the British production fare as a result of all the bombing?,0
306,Do bantams lay regular sized eggs ?,0
61,What does a “healthy” diet include?,1
101450,if there is finding of trace mr i have to repeat echo cardiogram time to time to rule out whether if it is increasing?,1
561,How is the walk?,0
37096,What does the trigeminal nerve do?,1
10035,How common are learning disabilities?,1
518,What about the front desk?,0
162,What is a quick and accurate review?,0
182,At what temperature will grains of uranium metal spontaneously ignite in air?,0
1252,What are often called psychoacoustic models?,0
918,Why was green facial makeup worn by ancient Egyptians?,0
71749,help please. could breast cancer show up on a cat scan of the heart or lungs?,1
1458,What method is used to cause a system to fail?,0
103985,my heart beat pounds upon standing shoots up real fast too 110bpm or more. why does it do this? typical resting rate is 56-70 for me. v-tach? a-fib?,1
602,How many copies of the Encyclopedie were estimated to be in circulation throughout France and Europe before the French Revolution?,0
612,In what borough is One World Trade Center located?,0
1934,What might my doctor suggest I do to manage my drug allergy?,1
10597,is obesity inherited?,1
499,How is the food?,0
56219,can you take adipex and norethindrone together or do they cancel each other out? can i take a norethindrone and plan b in the same day?,1
55954,why is it that there are no marks left after breast augmentation surgery done?,1
22778,How can singing help me boost my energy?,1
68706,can a woman get breast cancer if you squeeze her breasts really hard?,1
543,How nice is the view?,0
132562,what do you suggest if i have cough with phlegm mild chest pain but no fever what do i have?,1
104,When is low blood pressure dangerous?,1
316,Do listing notices cross international soil?,0
53,What do you think about imagery?,0
21223,Can candidal (yeast) infections be treated at home?,1
35727,What can I do if I have too little saliva?,1
614,In what competition did the Samoan rugby team reach the quarter finals in 2013?,0
43807,How big is a serving of chicken or meat?,1
429,Edward Burne-Jones is noted for creating mosaics in what century?,0
395,What is the quality of the movie?,0
590,How is the view from this hotel?,0
13,How is story?,0
36469,Can Tai Chi help my osteoporosis?,1
98986,i was diagnosed with a gastrointestinal hemmorhage hypokalemia intractable abd pain and an r/o gi bleed i have three ulcers that i've had for over a?,1
146,"As of 2004, what do all Anglican Communion Churches share?",0
85610,who is the most common sufferers of bradycardia?,1
588,Where is the bus stop?,0
35211,Why does dental pulp need to be removed?,1
13820,i have just switched birth control pills (from azurette to nordette). will i notice any differences (namely weight gain)?,1
961,Why are different materials used in a lab than are used in factory production?,0
45879,What kinds of food should I eat for a low-fat diet?,1
221,How do you dream?,0
298,How is the taste?,0
654,Why was the Somerset county Canal built ,0
1441,What must an infectious agent do to cause disease?,1
17145,How can watchful waiting help treat gallstones?,1
71348,i am having fibroadenoma 2 of them in either breast. am taking medication of primrose n long tablets for 3 months. will it help?,1
536,How much street noise is there?,0
258,What about the taste of the sauce?,0
1473,What makes a successful data model?,0
582,How is service?,0
45,How to identify sex?,0
439,Where can I find book with excellent review?,0
10419,What drugs can lower triglycerides?,1
10299,is it safe to eat a vegetarian diet during pregnancy?,1
574,How do you like the hotel?,0
75596,might it be that a a breast cyst be caused by a hormonal imbalance?,1
1362,What physical factor must be continuously monitored during temperature studies> ,0
274,Is it a good ingredient?,0
21381,is having weight loss surgery giving up?,1
201,At which college did Feyman turn down a job?,0
527,Where can I locate the hotel staff?,0
118, In what year did the Russian campaign take place?,0
1029,What did earnings from Greece's shipping amount to in 2011?,0
120011,what is the reason for bulging veins in the booty?,1
390,What is the quality of the movie?,0
86156,i have tinnitus and dizziness. positive hutt blood pressure at position 144/130 immediately 57/60 and heart rate up 190/min. i don't have a balance?,1
370,"During 2007, what was the percent of defective mortgages not underwritten to Citi's standards?",0
299,How is taste?,0
46686,what are some of the reasons for sharp breast pain in women?,1
47962,how can i get more calcium without drinking/eating too much diary products?,1
1082,What could the mythological association of prey species with divinity be a form of?,0
1081,What could the king do to nobles injured or taken during war?,0
452,Do they have a variety of salad?,0
107413,how long can u eat after taking propranolol?,1
791,Under whose reign were young debutantes presented to society at Court?,0
1062,What could epinephrine treat?,1
424,How is the table?,0
20867,When should I call a doctor for a heat burn to my eye?,1
1089,"What could wifi, bluetooth, and cellphone network on devices be used as?",0
1017,What trend led to parts of the world developing their own local Neolithic cultures?,0
997,What types of conservative beliefs slowed the expansion of the empire?,0
184,At what three levels does the Portugal government operate?,0
1286,Why are roofs a good place for solar panels?,0
276,Common energy forms include what?,0
11949,i had fat transfer done in my lips but one side is more swollen then other by a lot! is this normal and does it mean that side will heal bigger?,1
3323,How does an ICD help treat abnormal heart rhythms?,1
274,Colors are typically broadcast using YUV and then converted to what?,0
1421,What number doubled during Paul Vi's papacy?,0
28010,What triggers a heart beat?,1
1419,What number did Queen's Jazz reach on the Billboard 200?,0
30514,What are the next steps for the treatment of age-related macular degeneration?,1
34840,Are the symptoms of multiple sclerosis uniform?,1
574,How do children tend to define themselves?,0
1164,What concept is associated with the solvability of polynomials?,0
38063,How can the doctor accurately diagnose prostate cancer?,1
23933,What are the different kinds of fractures?,1
45929,How long does it take to recover from an abdominal hysterectomy?,1
257,Can invertebrate species of animals like insects feel pain and suffering?,0
701,Electricity production is expected to increase by what percentage each year for the next 25 years?,0
95958,wife is ra patient since 11y aged 35y is experincng palpitation like feeling head circling & general tiredness since 3 days. bp is 114/75. what is it?,1
1490,How can reducing the use of makeup help prevent acne?,1
1056,What creative union aired grievances against Comcast in 2011?,0
513,From whom did Seleucus receive war elephants?,0
555,How are the agreements in a treaty expressed?,0
813,Can cause for most pathogenic diseases be found soon?,1
167,How did you like the camera?,0
7,How is story?,0
130906,was given lorazapam by mistake 2 mgs wrong medication for migrain passed out and may have hullucinated should i be concerned memory seems off.,1
59,How can I stop smoking?,1
332,How is the quality of the collection?,0
467,How would you describe the atmosphere of the dinner?,0
32637,when doing my profile your website said i was severely obese. i''ve been trying to lose weight but keep gaining (30 lbs this year). desperate to stop?,1
38550,What are common symptoms of psoriatic arthritis?,1
9641,What are the symptoms of congenital generalized lipodystrophy (CGL) in babies?,1
512,Fossils found in the Tonian period indicate the presence of what creatures?,0
7664,Could weight loss be a sign of cancer?,1
371,How was this one film?,0
677,What is considered to be central to the teachings of Buddhism?,0
9855,What are symptoms of vision problems in children?,1
13330,i've been dieting and now find i don't have the energy for my usual exercise program. what should i do?,1
22326,What are signs of social or emotional developmental delays in children?,1
587,How far was the Conservative party in debt?,0
415,How is vibe?,0
523,What non-stimulant medications are used to treat ADHD?,1
40717,How is Inflectra used to treat rheumatoid arthritis (RA)?,1
1399,What often specify a minimum caliber or muzzle energy for firearms?,0
457,Is the set complete orwe have to buy the parts?,0
1471,What makes a plant non-vascular?,0
1360,What phrases were used to describe Mary ?,0
203,Does this taste funny at all?,0
166,How about view?,0
114869,why would a pericardium be swollen?,1
22070,what's the best proactive preventive treatments aside from exercise & diet for coronary heart disease. i'm 38 with a family history of heart disease.?,1
365,How is the story?,0
1005,What types of deer does Oklahoma have a lot of?,0
450,Eudicots or tricolpates are part of a monophyletic group formed by what species?,0
722,"Four areas of the body are usually safe from TB infection, including skeletal muscles, heart, and thyroid; what's the fourth?",1
474,Firefox does web feeds as what?,0
119610,"why do i always have nose bleeds? i am a 45 year old non smoking non drinking woman of normal weight. 5'4"" 129lbs size 6. i am not taking any medications or supplements of any kind. i have had no recent surgeries. i do not have high blood pressure ye",1
372,During a parasitoid-host interaction what will happen to the host?,0
54,What are the signs of ADHD in adults?,1
38793,What should I do if psoriasis causes pus-filled blisters or red and scaly skin?,1
13889,What are injection sites?,1
207,Avoiding drugs and using condoms are other forms of what?,1
223,How is that texture?,0
85,What do you think about the story?,0
1038,What did Egyptian state media claim was the reason for Nasser's absence after his second heart attack?,0
127496,what kind of pills should i be taking for high cholesterol?,1
497,For what crime was he arrested?,0
824,Where did Shuhda attend school?,0
88090,i have low potassium could that make me have panic attacks or anxiety problems. my doctor did a ekg and chest xray and my heart is good?,1
40287,Is it bad to cancel doctor appointments if I have rheumatoid arthritis?,1
556,How is the carpet?,0
23132,Can hearing aids help tinnitus?,1
23970,What is physical therapy?,1
660,Why was the Unicode 2.0 codespace increased?,0
1044,What description did Peter Lax use for von Neumann?,0
60615,blood sugar 0' 60' 120' - 82mg 83mg 65mg insulin 0' 60' 120' - 4 2mui/l 43 6mui/l 2 6mui/l glucagon - 25pg/ml is this insulin resistance?,1
4863,How effective is Plan B One-Step as an emergency contraception?,1
67058,i have had no period for two months constant breast pain negative pregnancy test and spotting what could be wrong. with me?,1
129369,what are reliable doctor-recommended heart problems that people can get?,1
789,Under whose reign did the Church of England part from Rome?,0
494,How big are the hamburgers?,0
57348,anyone know what is a really good weight loss diet program?,1
198,How good is the finish?,0
465,How did you like the waiter?,0
23194,What are some self-care tips for a broken toe?,1
579,How do differences in works arise when using a printing press?,0
840,Who did the official from Myanmar meet with ?,0
426,Edmund Dixon is most famous for what inclusions in his 1854 book on poultry ?,0
20859,i got my period a week early and have been binging like crazy. should i be concerned?,1
3405,What are side effects of beta-blockers when treating atrial fibrillation (AFib)?,1
1080,What could the displacement of ice cause?,0
38587,you have high appetite for food in winters than summers is that correct?,1
401,During the 1500 who was a valued part of the Ottoman   Empire?,0
260,How was the popcorn?,0
864,Zeus was married to which goddess?,0
15219,Which dairy products have healthy fat?,1
36384,need help with my slightly overweight child focus on diet or exercise first?,1
24635,would it b ok if i just drink protein shakes that body builders drink. my teeth r bad and its hard for me to eat. im losing weight. i weigh maybe 100?,1
58,What is “normal” sleep?,1
41362,How can you get rheumatoid nodules?,1
243,Boston is the only state capital in the contiguous US to have what type of coastline?,0
517,From whom was Marwan descended?,0
267,What is the shipping speed?,0
83617,i have heard that drinking apple cider vineger (with water)for long time would cause liver damage and low potassium levels is that true?,1
41088,How does someone with rheumatoid arthritis (RA) get folic acid?,1
147,"As of 2005, what country was the largest producer of uranium oxides?",0
345,What did you think of this movie?,0
355,Do you recommend watching this movie to hang out?,0
1096,What competition is the predecessor to the UEFA Cup-Europa League?,0
355,"Due to the numbers of expatriates of Poland after the uprising, what did it become to be known as?",0
121, What do residents of Seattle believe in matters of religion?,0
708,Explorers in the employ of what nation discovered the Azores?,0
46256,What are the symptoms of Streptococcal toxic shock syndrome?,1
36267,Can glucosamine help treat osteoarthritis symptoms?,1
2107,what diseases become out of natural disasters?,1
309,Do you have any positive views about the movie?,0
387,"During hockey season, when does the late night news update occur?",0
98175,my hemoglobin came back elevated again (17. 5) im feeling extremely tired short of breath rapid heart beat and abdominal fullness. why?,1
1157,What concept did Tarski introduce to discuss the conditions for the truth of statements?,0
573,Is a good parking service?,0
37371,What can palliative medicines help with?,1
821,"Compared to other religions, Jehovah's Witnesses have the highest frequency of doing what with the Bible outside of religious services?",0
1299,Why are the Non-OTG compliant devices not allowed to use the micro-AB receptacle?,0
28807,What alternative therapies are available for IBS with diarrhea (IBS-D)?,1
1094,What could you say is the average start for a monsoon?,0
1146,What computer model did Dell ask Officeworks to carry?,0
494,For what competition did Arsenal use the yellow and blue away kit?,0
113606,what are the presenting symptoms of an infection of heart valves?,1
272,How is texture?,0
1446,What must be decompressed? ,0
1323,What racial group was primarily involved in babershop a cappella in its earliest days?,0
293,How do you like the tooth?,0
31328,What are the pros to using estrogen replacement therapy patches?,1
1314,Why couldn't the French and English take control of the field?,0
951,Why are newborns described as being physiologically immunodeficient?,1
58899,does emergency contraception cause weight gain?,1
1039,What describes meditative states exising before the Buddha?,0
458,False charges can be brought against a journalist who writes about what?,0
69,What is the best diet for women aged 50?,1
12619,How is an inferior vena cava (IVC) filter used to treat deep vein thrombosis (DVT)?,1
1085,What could the sun's energy do to help limit climate change?,0
1312,Why couldn't Shawn Michaels defend himself? ,0
128, When did Marie Louise give birth?,0
521,FST is used to measure the degree of differentiation between what?,0
1774,Where are your sinus cavities located?,1
772,How did the British army escape,0
565,How is hotel?,0
173,Does the video and pictures extremely sharp?,0
9733,How is a genetic test for cystic fibrosis (CF) done?,1
533,How was the attention of the staff?,0
102618,is taking a low dose of propranolol suitable for panic attacks and heart racing?,1
124033,what is a too low blood pressure?,1
1112,What component of the 360 S prevents overheating issues prevalent in prior versions?,0
22578,is oil of oregano safe to take with my other meds? zoloft (sertraline) avapro phentermine phenergen paracetamol and ibuprofen?,1
26475,How will your doctor find out if you have heart failure?,1
135427,what kinds of treatment options are there if you have high cholesterol?,1
815,"Companies such as Huawei, ZTE and Lenovo have built what in Nanjing?",0
469,How are the prices of the place?,0
27502,Can depression play a role in fatigue from hepatitis C?,1
350,Drug-resistant TB is one of the barriers to success of the Stop TB Partnership's initiative; what's the other other?,1
17565,How can the temporomandibular joint (TMJ) cause ear pain?,1
41,zoloft (sertraline) dose up to 100mg and takin klonopin 1mg twice a day. will this balance my anxiety feel like my doc is focused on depression not anxiety?,1
658,Why was the term transistor used?,0
7084,dangers of untreated laceration and infection?,1
62783,how does type 1 diabetes affect pro-insulin level?,1
28,How is the write?,0
880,With whom was LaserDisk a popular choice for it's picture and sound quality?,0
27511,"is this true? i keep coming across this ""100 steps backward walking is equivalent to 1 000 steps forward walking. "" but it sounds to good to be true.",1
781,How did the capacitor traditionally used in radio tuning circuits change over time? ,0
84544,i've been feeling anxious and nervous at the office these days. i don't feel anything during the day but feel heart palpitations at bed. need to worry?,1
1317,What race was the majority in Palestine in the 1940s?,0
112104,what could cause chest pain under my right pec after eating(feels like an elephant sitting on me)?,1
184,How is the image quality like?,0
1065,What could have affected Medieval Europe's embracing of the pointed arch?,0
41884,Do I need to do anything to prepare for a pelvic exam?,1
45,Does it really matter what time of day you take medications? ,1
600,How many copies of On the Origin of Species were created in the first printing?,0
68517,is sauna safe after breast augmentation?,1
11547,What are antibiotics used for?,1
705,Existing between what two countries contributed to Kathmandu becoming a center of trade?,0
135,How is the base?,0
303,Do apex predators generally have a large or small population?,0
142,What is the image quality?,0
324,Do teens smoke marijuana or cigarettes more commonly?,1
320,Was the scenes good?,0
38209,Will diet affect radiation therapy for skin cancer?,1
28448,would it be healthy to be addicted to chewing mint gum?,1
1233,What  domain were the Eritrean highlands under after the decline of Aksum?,0
14900,What are the main things that lead to type 1 diabetes?,1
5347,"If I feel dizzy, when should I call my doctor?",1
36309,How can sleeping well help ease osteoarthritis symptoms?,1
989,What viewpoint did the book Socialism shift Hayek toward?,0
151,Is there a major problem?,0
23897,what would u say to obese patient who wants 2 exercise 2 improve heart health/lose weight but doesn't due to a phobia about having heart attack? <negative_smiley>,1
591,How far will Puffinus griseus migrate each year?,0
33378,What is the definition of retinal migraine?,1
281,"Despite FDA approval, how much more likely to die are patients who take bedaquiline in addition to the standard TB regimen?",1
36563,Does osteoarthritis cause stiff joints?,1
1033,What did Ebert think of 'The Color Purple'?,0
1004,What types of decisions would great powers reach?,0
399,Does the video gives entertainment?,0
352,How would you describe the picture quality of the film?,0
971,What was the first treatment for tuberculosis?,1
371,During 6000 BC what area was occupied by a Neolithic culture?,0
163,At what age did Gautama venture out from the palace area?,0
749,Hans Denck was considered what type of reformer?,0
1234,What  family was supposed to have supported the January 1804 assassination plot targeting Napoleon?,0
185,What is the quality of the pair?,0
41782,What happens during a psychotic episode for people with schizophrenia?,1
36373,no matter what i eat or how much i eat i get nauseated. i had gastric bypass surgery 18 months ago. what could be causing my nausea?,1
282,How is the meal?,0
83078,is it possible to get a heart attack at twenty without a heart condition?,1
27229,Will I need surgery for heartburn?,1
615,In what competition was Arsenal the first to enter the finals?,0
1386,What order of magnitude of capacitance is suitable for capacitors comprised of ceramic disks with metallic coatings?,0
103,How do set the device to the most advanced level?,0
12949,What causes atypical depression?,1
3110,How often should inhaled steroids be taken?,1
72589,my dad's mom had breast cancer and now my mom had breast cancer. even though i am not yet 40 should i have a mammogram?,1
107,How is the guy?,0
822,"Compared to the Ordovician glaciation, how big were the ice caps on Gondwana during the Silurian?",0
734,"Generally, up-peak mode takes place during what times of the day?",0
